ID,AF,TI,SO,LA,DT,AB,PY
ID1,"George, Gerard; Schillebeeckx, Simon J. D.; Liak, Teng Lit",THE MANAGEMENT OF NATURAL RESOURCES: AN OVERVIEW AND RESEARCH AGENDA,ACADEMY OF MANAGEMENT JOURNAL,English,Editorial Material,"Editor's note: This editorial is part of a series written by editors and co-authored with a senior executive, thought leader, or scholar from a different field to explore new content areas and grand challenges with the goal of expanding the scope, interestingness, and relevance of the work presented in the Academy of Management Journal. The principle is to use the editorial notes as ""stage setters"" to open up fresh new areas of inquiry for management research. GG",2015
ID2,"Kish-Gephart, Jennifer J.; Campbell, Joanna Tochman",YOU DON'T FORGET YOUR ROOTS: THE INFLUENCE OF CEO SOCIAL CLASS BACKGROUND ON STRATEGIC RISK TAKING,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Social class is increasingly recognized as a powerful force in people's lives. Yet despite the long and extensive stream of research on the upper echelons of organizations, we know little about how executives' formative childhood experiences with social class influence their strategic choices. In this study, we investigate the influence of chief executive officers' (CEOs') perceived social class origins on firm risk taking. We also explore the moderating influences of other important career experiences, in the form of elite education and diverse functional backgrounds. Our theory and findings highlight that an executive's social class origins have a lasting and varying impact on his or her preferences, affecting his or her tendency to take risks. By examining this novel managerial characteristic, we offer important implications for theorizing about social class and upper echelons.",2015
ID3,"Baer, Michael D.; Dhensa-Kahlon, Rashpal K.; Colquitt, Jason A.; Rodell, Jessica B.; Outlaw, Ryan; Long, David M.",UNEASY LIES THE HEAD THAT BEARS THE TRUST: THE EFFECTS OF FEELING TRUSTED ON EMOTIONAL EXHAUSTION,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"The construct of feeling trusted reflects the perception that another party is willing to accept vulnerability to one's actions. Although this construct has received far less attention than trusting, the consensus is that believing their supervisors trust them has benefits for employees' job performance. Our study challenges that consensus by arguing that feeling trusted can be exhausting for employees. Drawing on Stevan Hobfoll's conservation of resources theory, we develop a model in which feeling trusted fills an employee with pride a benefit for exhaustion and performance while also increasing perceived workload and concerns about reputation maintenance burdens for exhaustion and performance. We test our model in a field study using a sample of public transit bus drivers in London, England. Our results suggest that feeling trusted is a double-edged sword for job performance, bringing with it both benefits and burdens. Given that recommendations for managers generally encourage placing trust in employees, these results have important practical implications.",2015
ID4,"Battilana, Julie; Sengul, Metin; Pache, Anne-Claire; Model, Jacob",HARNESSING PRODUCTIVE TENSIONS IN HYBRID ORGANIZATIONS: THE CASE OF WORK INTEGRATION SOCIAL ENTERPRISES,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"We examine the factors that influence the social performance of hybrid organizations that pursue a social mission and sustain their operations through commercial activities by studying work integration social enterprises (WISEs). We argue that both social imprinting, defined as a founding team's early emphasis on accomplishing the organization's social mission, and economic productivity are important drivers of a WISE's social performance. However, there is a paradox inherent in the social imprinting of WISEs: Although social imprinting directly enhances a WISE's social performance, social imprinting also indirectly weakens social performance by negatively affecting economic productivity. Results based on panel data of French WISEs gathered between 2003 and 2007 are congruent with our predictions. To understand how socially imprinted WISEs may mitigate this negative relationship between social imprinting and economic productivity, we also conduct a comparative analysis of case studies. We find that one effective approach is to assign responsibility for social and economic activities to distinct groups while creating ""spaces of negotiation""-arenas of interaction that allow members of each group to discuss the trade-offs that they face. We conclude by highlighting the conditions under which spaces of negotiation can effectively be used to maintain a productive tension in hybrid organizations.",2015
ID5,"Matta, Fadel K.; Scott, Brent A.; Koopman, Joel; Conlon, Donald E.","DOES SEEING ""EYE TO EYE"" AFFECT WORK ENGAGEMENT AND ORGANIZATIONAL CITIZENSHIP BEHAVIOR? A ROLE THEORY PERSPECTIVE ON LMX AGREEMENT",ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Despite meta-analytic evidence demonstrating that leader-member exchange (LMX) agreement (consensus between leader and subordinate perceptions) is only moderate at best, research on LMX typically examines this relationship from only one perspective: either the leader's or the subordinate's. We return to the roots of LMX and utilize role theory to argue that agreement between leader and subordinate perceptions of LMX quality has meaningful effects on employee motivation and behavior. In a polynomial regression analysis of 280 leader-subordinate dyads, employee work engagement and subsequent organizational citizenship behavior (OCB)-was maximized (at each level of LMX quality) when leaders and subordinates were in agreement about the quality of their LMX relationship, but suffered when they did not see ""eye to eye."" Indeed, situations in which both leaders and subordinates evaluated their relationship as low quality were associated with higher work engagement (and subsequent OCB) than were situations of disagreement in which a single member evaluated the relationship as high quality. Further, this effect was consistent regardless of whether the leader or the subordinate evaluated the relationship highly. We conclude that, to fully understand the implications of our only dyadic leadership theory, we must consider the perspectives of both members of the LMX dyad simultaneously.",2015
ID6,"Gurses, Kerem; Ozcan, Pinar",ENTREPRENEURSHIP IN REGULATED MARKETS: FRAMING CONTESTS AND COLLECTIVE ACTION TO INTRODUCE PAY TV IN THE US,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"In their endeavor to establish new products and services, entrepreneurs can face strong resistance from market incumbents whose resources and market position they threaten. This paper looks at the battles between entrepreneurs and market incumbents in a regulated market where various institutional actors (e.g., regulators, courts) have the power to protect the incumbents by hindering the entrepreneurs. Our comparison of one failed and one successful attempt to introduce pay TV in the U.S. reveals how entrepreneurs can first enter a regulated market without facing resistance, and then introduce a new frame to legitimize their product or service despite growing resistance from incumbents. Our framework highlights framing as a strategy and framing contests as a mechanism through which entrepreneurs and incumbents can battle to enable or disable institutional change. As part of this process, we also uncover how entrepreneurs evolve from self-serving actors with no field-level intentions to powerful groups that create a ripple effect in their environment by moving their target of influence from private to institutional actors. Our work constitutes a step toward a more ""realistic"" tale of institutional change.",2015
ID7,"Bednar, Michael K.; Love, E. Geoffrey; Kraatz, Matthew",PAYING THE PRICE? THE IMPACT OF CONTROVERSIAL GOVERNANCE PRACTICES ON MANAGERIAL REPUTATION,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"This study directly examines the reputational penalties that managers pay when they engage in controversial governance practices that raise questions about managerial self-interest. These penalties should deter questionable behavior and enable reputation to serve a social control function, yet we know little about how and when these penalties are actually imposed. Unlike prior research in this vein, we account for the fact that reputational penalties associated with such practices may differ across audiences because of differences in interpretations of the practice and differences in causal attributions about its use. Specifically, we develop theory to explain how and when stock analysts and peer executives applied reputational penalties to managers when firms used a poison pill, a prominent anti-takeover device. We find that the reputational penalties associated with poison pills differed substantially between these two groups and that these groups applied different penalties depending on the media coverage that the poison pill received, the performance of the firm, and the extent to which the practice had already been adopted. The findings suggest that reputational penalties for questionable behaviors may be more contingent and harder to sustain than previously thought.",2015
ID8,"Erez, Amir; Schilpzand, Pauline; Leavitt, Keith; Woolum, Andrew H.; Judge, Timothy A.",INHERENTLY RELATIONAL: INTERACTIONS BETWEEN PEERS' AND INDIVIDUALS' PERSONALITIES IMPACT REWARD GIVING AND APPRAISAL OF INDIVIDUAL PERFORMANCE,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Introverted individuals may experience and evaluate their dyadic work relationships differently than extraverts. In two studies, we investigated the interaction effect of an individual's and observing peer's personality traits on performance evaluations and reward giving. Results from Study 1 showed that introverted (but not extraverted) peers consistently evaluated extraverted and disagreeable (but not introverted and agreeable) individuals' performance as lower. Study 2 replicated these findings with regard to performance evaluation and reward giving using an experimental design that manipulated actor personality and held objective performance constant. The results also showed that introverts' trait sensitivity and negative person impressions mediated these relationships. Overall, our results support an information utilization model of interpersonal dyadic evaluation, wherein introverts are more sensitive to interpersonal personality traits than are their extraverted counterparts, incorporating interpersonal traits in person impressions and subsequent evaluations and reward distributions. Our paper concludes with implications for dyadic workplace interactions, personality, and sources of emergent dyadic influences on performance evaluation.",2015
ID9,"Eggers, J. P.; Song, Lin",DEALING WITH FAILURE: SERIAL ENTREPRENEURS AND THE COSTS OF CHANGING INDUSTRIES BETWEEN VENTURES,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"As part of the recent interest in serial entrepreneurship, studies have investigated the presence (or absence) of learning benefits from a previous to a subsequent venture. We extend this literature by integrating behavioral concepts on attribution and learning from failure that highlight the differences in behavioral responses to success versus failure. We theorize that serial entrepreneurs whose previous venture failed are likely to blame the external environment and change industries for their subsequent venture, and that this industry change is costly in that it invalidates potentially useful industry experience, thereby hindering their subsequent venture. In contrast, founders of failed ventures are unlikely to change aspects of their previous business (when starting their subsequent venture) that would be attributable to their leadership that is, strategy, decision-making, and planning style. Using data on entrepreneurs in China and the U.S., we find support for our theory. The results have important implications for the study of serial entrepreneurship, and more broadly for research on behavioral responses to failure.",2015
ID10,"Gabriel, Allison S.; Diefendorff, James M.",EMOTIONAL LABOR DYNAMICS: A MOMENTARY APPROACH,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Emotional labor has been described as a dynamic self-regulatory process that unfolds over the course of customer interactions, with employees continuously monitoring and adjusting their felt and expressed emotions via two emotion regulation strategies: surface acting and deep acting. Despite dynamic theory on the topic, empirical tests have largely ignored within-episode variability in emotional labor, relying on assessments of emotional labor focused on the person, day, or interaction level of analysis. The current study elaborated on theory pertaining to within-episode emotional labor dynamics, utilizing a call center simulation to examine how shifts in customer incivility impacted on continuous measures (captured every 200 milliseconds) of participants' felt emotions, surface acting, deep acting, and vocal tone during a single interaction. Results provided evidence that customer behavior causally influences within-episode changes in emotions, emotion regulation, and vocal tone, and that these key emotional labor variables significantly relate to each other at the momentary level of analysis. Further, by modeling lagged effects, we were able to gain insight into the causal direction in the relationships among these continuously measured variables. Moreover, we showed for the first time that surface acting and deep acting are used simultaneously to manage emotional labor demands.",2015
ID11,"Liouicas, Constantinos S.; Reuer, Jeffrey J.",ISOLATING TRUST OUTCOMES FROM EXCHANGE RELATIONSHIPS: SOCIAL EXCHANGE AND LEARNING BENEFITS OF PRIOR TIES IN ALLIANCES,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Social exchange theory is a broad theory that has been used to explain frost as an outcome of various exchange relationships, and research commonly presumes trust exists between exchange partners that have prior relationships. In this paper, we contribute to research on social exchange theory by isolating the trust outcomes of interorganizational exchanges from other outcomes emphasized by learning and knowledge-based perspectives, and by specifying important boundary conditions for the emergence of trust in interorganizational exchanges. We make such a theoretical contribution within the domain of strategic alliances by investigating the effects of previous alliance agreements, or prior ties, between the partnering firms. We find that prior ties generally lead to learning about a partner's anticipated behavioral patterns, which helps a firm predict when self-interested behavior may occur and know how to interact with the partner during the coordination and execution of the alliance tasks. By contrast, the kind of trust emphasized in social exchange theory is not generally rooted in prior ties and only emerges from prior relationships under certain conditions. We discuss the implications of these findings for research on social exchange theory.",2015
ID12,"Wo, David X. H.; Ambrose, Maureen L.; Schminke, Marshall",WHAT DRIVES TRICKLE-DOWN EFFECTS? A TEST OF MULTIPLE MEDIATION PROCESSES,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Organizational research has established the existence of trickle-down effects, wherein the perceptions, attitudes, or behavior of one person in an organization affects those of another person at a lower level. Although current research has explained the phenomenon using several different theoretical perspectives, prior studies have not explicitly tested the theorized mechanisms. This paper develops and tests a model that incorporates three theories of trickle-down effects for interactional justice perceptions: social exchange theory, social learning theory, and displaced aggression. Using cross-sectional data from 200 supervisor-subordinate dyads in Study 1 and longitudinal data from 270 supervisor-subordinate dyads in Study 2, we test this multiple mediator model. The results demonstrate that the two aspects of interactional justice perceptions interpersonal and informational justice perceptions trickle down from supervisors to subordinates through two different mechanisms. Specifically, displaced aggression accounts for the trickle-down effects of interpersonal justice perceptions and social exchange accounts for the trickle-down effects of informational justice perceptions. We discuss the implications of the findings for research on trickle-down effects and organizational justice.",2015
ID13,"Ayyagari, Meghana; Dau, Luis Alfonso; Spencer, Jennifer",STRATEGIC RESPONSES TO FDI IN EMERGING MARKETS: ARE CORE MEMBERS MORE RESPONSIVE THAN PERIPHERAL MEMBERS OF BUSINESS GROUPS?,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"With increasing foreign direct investment (FDI) into emerging markets, local firms must make critical strategic decisions in order to remain competitive. When faced with multinational enterprises (MNEs) announcing FDI into their industry, local firms can expand operations and challenge the MNE head on, or refrain from responding directly, effectively ceding market share to the MNE investor. We propose that local firms' responses are shaped by their affiliation with, and position in, a business group. Using data on investment announcements by MNEs and local firms in India from 1995 to 2010, we find that firms that are affiliated with business groups tend to be more sensitive to MNE investment announcements than are stand-alone firms. More professionally managed group affiliate firms are more likely to respond to MNE threats. Furthermore, firms that are in the group's identity domain that is, those holding more prominent positions within their group (especially as measured by centrality in the group's directorship network) appear more likely to respond to MNE investment announcements. Overall, our results highlight the importance of business group affiliation in examining FDI spillovers in emerging markets.",2015
ID14,"Krishnan, Rekha; Kozhikode, Rajiv Krishnan",STATUS AND CORPORATE ILLEGALITY: ILLEGAL LOAN RECOVERY PRACTICES OF COMMERCIAL BANKS IN INDIA,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Why might high-status organizations, presumably secure in their positions, resort to illegality? This study considers the possibility that status theory might have overestimated the relative security of high-status organizations. We examine our theory that an inability to meet associates' expectations about quality might be the source of insecurity, using data on the illegal loan recovery practices employed by commercial banks in India between 2005 and 2009. High-status banks were found to be particularly likely to engage in illegal recovery practices. This was especially true when a high-status bank had experienced a decline in its financial asset quality or had fallen behind the financial asset quality of its peers. However, when a bank's business partners placed greater emphasis on corporate social responsibility (CSR), it minimized a bank's tendency to resort to illegal loan recovery practices.",2015
ID15,"Maruping, Likoebe M.; Venkatesh, Viswanath; Thatcher, Sherry M. B.; Patel, Pankaj C.",FOLDING UNDER PRESSURE OR RISING TO THE OCCASION? PERCEIVED TIME PRESSURE AND THE MODERATING ROLE OF TEAM TEMPORAL LEADERSHIP,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Team temporal leadership orients teams toward managing the time-related aspects of their work. We examine how perceived time pressure affects team processes and subsequent performance under weak versus strong team temporal leadership. The results of our field study of 111 project teams show that the mediated relationship between perceived time pressure and team performance is non-linear. Moreover, this non-linear mediated relationship is moderated by team temporal leadership such that, under strong team temporal leadership, the indirect effect of perceived time pressure on team performance is mostly positive, while, under conditions of weak team temporal leadership, the indirect effect is positive at low levels of perceived time pressure and negative at intermediate to high levels. Implications for current and future time pressure research are also discussed.",2015
ID16,"Pahnke, Emily Cox; Mcdonald, Rory; Wang, Dan; Hallen, Benjamin","EXPOSED: VENTURE CAPITAL, COMPETITOR TIES, AND ENTREPRENEURIAL INNOVATION",ACADEMY OF MANAGEMENT JOURNAL,English,Article,"This study investigates the impact of early relationships on innovation at entrepreneurial firms. Prior research has largely focused on the benefits of network ties, documenting the many advantages that accrue to firms embedded in a rich network of interorganizational relationships. In contrast, we build on research emphasizing potential drawbacks to examine how competitive exposure, enabled by powerful intermediaries, can inhibit innovation. We develop the concept of ""competitive information leakage,"" which occurs when firms are indirectly tied to their competitors via shared intermediary organizations. To test our theory, we examine every relationship between entrepreneurial firms and their venture capital investors in the minimally invasive surgical device segment of the medical device industry over a 22-year period. We find that indirect ties to competitors impede innovation, and that this effect is moderated by several factors related to the intermediary's opportunities and motivation to leak important information.",2015
ID17,"Kim, Ji-Yub (Jay); Finkelstein, Sydney; Haleblian, Jerayr (John)",ALL ASPIRATIONS ARE NOT CREATED EQUAL: THE DIFFERENTIAL EFFECTS OF HISTORICAL AND SOCIAL ASPIRATIONS ON ACQUISITION BEHAVIOR,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Research on performance aspirations has tended to assume that historical and social aspirations work in parallel and influence strategic behavior in a similar manner. We posit that these two distinct modes of performance comparison in fact lead to dissimilar firm behavior. We also explore how variability in prior acquisition performance influences the relationship between aspiration levels and subsequent strategic behavior. We examine our questions in the context of mergers and acquisitions within the U.S. commercial banking industry from 1988 to 2005. Consistent with our opening prediction, we find that firms' acquisition behavior varies significantly depending on whether historical or social comparisons are used. We also find that high variability in the previous acquisition performance of a firm intensifies the relationship between acquisition performance relative to aspirations and the probability of the firm making acquisitions below historical and social aspirations, but attenuates the relationship above such aspirations.",2015
ID18,"Chen, Guoli; Luo, Shuqing; Tang, Yi; Tong, Jamie Y.",PASSING PROBATION: EARNINGS MANAGEMENT BY INTERIM CEOS AND ITS EFFECT ON THEIR PROMOTION PROSPECTS,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"Drawing on chief executive officer (CEO) succession research and the impression management literature, we examine earnings management by interim CEOs, its impact on interim CEOs' promotion prospects, and the moderating effect of governance mechanisms on the relationship between the two. Based on a sample of 145 interim CEO succession events in U.S. public firms from 2004 to 2008, we find that (a) an interim CEO is more likely than a noninterim CEO to engage in earnings management to improve firm earnings performance (""income-increasing earnings management""), (b) the greater the income-increasing earnings management, the more likely it is that the interim CEO will be promoted to the permanent position, and (c) the relationship between earnings management and the likelihood of interim CEO promotion is weakened when effective internal and external governance mechanisms are in place.",2015
ID19,"Barnes, Christopher M.; Lucianetti, Lorenzo; Bhave, Devasheesh P.; Christian, Michael S.","YOU WOULDN'T LIKE ME WHEN I'M SLEEPY: LEADERS' SLEEP, DAILY ABUSIVE SUPERVISION, AND WORK UNIT ENGAGEMENT",ACADEMY OF MANAGEMENT JOURNAL,English,Article,"We examine the daily sleep of leaders as an antecedent to daily abusive supervisory behavior and work unit engagement. Drawing from ego depletion theory, our theoretical extension includes a serial mediation model of nightly sleep quantity and quality as predictors of abusive supervision. We argue that poor nightly sleep influences leaders to enact daily abusive behaviors via ego depletion, and these abusive behaviors ultimately result in decreased daily subordinate unit work engagement. We test this model through an experience sampling study spread over 10 workdays with data from both supervisors and their subordinates. Our study supports the role of the indirect effects of sleep quality (but not of sleep quantity) via leader ego depletion and daily abusive supervisor behavior on daily subordinate unit work engagement.",2015
ID20,"Berry, Heather",KNOWLEDGE INHERITANCE IN GLOBAL INDUSTRIES: THE IMPACT OF PARENT FIRM KNOWLEDGE ON THE PERFORMANCE OF FOREIGN SUBSIDIARIES,ACADEMY OF MANAGEMENT JOURNAL,English,Article,"This paper analyzes the impact of inherited parent firm knowledge on the performance of foreign operations in global industries. I argue that transfers of parent firm knowledge provide different advantages to foreign operations, depending on the technological characteristics of the foreign country and the type of knowledge transferred. Results from a comprehensive panel of U.S. multinational corporations (MNCs), using fixed effects and system general method of moments (GMM) models to correct for endogeneity issues, show that inherited parent firm knowledge is not equally valuable in all countries. The transfer of technological knowledge is value-creating when home country innovation dominates and when parent firm knowledge is transferred to foreign operations in lagging technology countries (when foreign technology dominates). Further, combining managerial knowledge transfers with local subsidiary investments in innovation is shown to boost the performance of foreign operations located in leading technology countries, suggesting that the prior experiences, connections, and knowledge of expatriate managers, can be particularly useful in managing new knowledge generated in these countries. Overall, this paper extends our understanding of knowledge management within MNCs by exploring when transfers of parent technological and managerial knowledge are more likely to improve the performance of foreign operations in increasingly globally competitive industries.",2015
